date,cash_value,stock_value,total_value,deposit_withdrawal,simple_returns,cum_return,equity_index
2020-03-18,-3845.81,-10471.653006211147,-14317.463006211146,0.0,0.0,-0.5882257893190159,
2020-03-19,-3871.85,-10304.604389509932,-14176.454389509932,20.0,0.0,-0.5882257893190159,
2020-03-20,-3871.85,-10199.601905534455,-14071.451905534455,0.0,0.0,-0.5882257893190159,
2020-03-21,-3871.85,-10199.601905534455,-14071.451905534455,0.0,0.0,-0.5882257893190159,
2020-03-22,-3871.85,-10199.601905534455,-14071.451905534455,0.0,0.0,-0.5882257893190159,
2020-03-23,-3871.85,-10069.025639126776,-13940.875639126776,0.0,0.0,-0.5882257893190159,
2020-03-24,-3871.85,-10000.2930264535,-13872.143026453501,0.0,0.0,-0.5882257893190159,
2020-03-25,-3871.85,-9989.240633191983,-13861.090633191983,0.0,0.0,-0.5882257893190159,
2020-03-26,-3901.66,-9635.477441503046,-13537.137441503046,0.0,0.0,-0.5882257893190159,
2020-03-27,-3901.66,-9522.120035729733,-13423.780035729733,0.0,0.0,-0.5882257893190159,
2020-03-28,-3901.66,-9522.120035729733,-13423.780035729733,0.0,0.0,-0.5882257893190159,
2020-03-29,-3901.66,-9522.120035729733,-13423.780035729733,0.0,0.0,-0.5882257893190159,
2020-03-30,-3891.66,-9524.981403010348,-13416.641403010348,10.0,0.0,-0.5882257893190159,
2020-03-31,-3891.66,-9523.047361235009,-13414.707361235009,0.0,0.0,-0.5882257893190159,
2020-04-01,-3891.66,-10016.913054560666,-13908.573054560666,0.0,0.0,-0.5882257893190159,
2020-04-02,-3891.66,-10009.524791476339,-13901.184791476338,0.0,0.0,-0.5882257893190159,
2020-04-03,-3891.6,-9680.101098351744,-13571.701098351745,0.0,0.0,-0.5882257893190159,
2020-04-04,-3891.6,-9680.101098351744,-13571.701098351745,0.0,0.0,-0.5882257893190159,
2020-04-05,-3891.6,-9680.101098351744,-13571.701098351745,0.0,0.0,-0.5882257893190159,
2020-04-06,-3881.6,-9531.025734702947,-13412.625734702948,10.0,0.0,-0.5882257893190159,
2020-04-07,-3881.6,-9521.534068898045,-13403.134068898045,0.0,0.0,-0.5882257893190159,
2020-04-08,-3881.6,-9501.345088578759,-13382.94508857876,0.0,0.0,-0.5882257893190159,
